The Magical Lands,Papra Mayro 46,43,2023-02-07
Mario's Vacation Course,Reonu,30,2021-04-16
SM64 Sapphire,Nebula,30,2017-12-10
Sunshine Secret Book 64,Dan-GPTV,40,2019-12-02
Super Mario Rainbow Road,Skilllux,60,2012-09-08
Plutonium Mario 64,UsernamesAreSpiders,101,2021-08-20
Luigi and the Forest Ruins: Rebooted,LinCrash & TheGael95,40,2016-09-10
Super Mario Lovestruck Calamity,Grand Star,85,2022-08-31
SM64 Peach's Memory,Daniel_EDC,60,2019-08-21
Super Mario _4,aglab2 & Lugmillord & various,30,2022-12-25
Star Revenge 5: Neo Blue Realm,BroDute,70,2016-12-26
SM64: Through the Ages,Kaze & various,95,2022-04-30
Super Mario's Jammin' Journey,ImSoGoosed,70,2020-04-03
Star Road Retooled,Skelux & Pyro Jay,130,2021-12-24
Mario Party 64,MrComit,70,2020-02-16
Princess Peach Sex Hack,MrComit,40,2020-11-01
Super Mario and the Cursed Castles,Foxen,121,2019-06-14
Escape from the Jail: Definitive Edition,aglab2 & TheGael95,50,2022-02-04
Star Revenge 7: Park of Time,BroDute,121,2014-12-19
Super Mario Odyssey 64,Kaze & Biobak,80,2020-04-18
SM64: Shining Stars Repainted,sm64pie,151,2020-05-30
Star Revenge 4.5: The Kedama Takeover Rewritten,BroDute,100,2016-09-23
SM64 The Green Stars,Kampel125,130,2013-07-21
SM64: Ocarina of Time,Kaze,171,2018-03-26
Super Mario: The Stolen Stars,JakeDower,44,2023-02-10
Super Mario: The Lost Dreams,Xeraclom14,50,2019-12-13
Serene Fusion,aglab2 & various,80,2022-10-09
Despair Mario's Gambit 64,GmdDoesDMG,120,2021-11-19
SM64 Royal Legacy,Stunning Cactus,30,2020-09-14
Another Mario Adventure,aglab2 & various,120,2020-08-21
Star Revenge 1.5: Star takeover,BroDute,125,2015-08-14
Star Revenge 2 Act I: To the Moon,BroDute,85,2017-07-16
Super Mario Star Road,Skelux,130,2011-12-24
Star Revenge 3.5: Vacation of Cursed Dreams,BroDute,133,2018-11-20
Dog Collab,various,73,2023-02-24
Ztar Attack 2: A Blast to the Past,TheGael95,90,2018-09-24
Shining Stars 3: Sanctuary of the Star Comet,sm64pie,132,2017-08-01
Lug's Delightful Dioramas,Lugmillord,74,2020-11-07
Star Revenge 8: Scepter of Hope,BroDute,121,2016-03-16
Star Revenge 6.25: Luigi's Adventure DX,BroDute,216,2019-12-18
Mario on Indigo Island,UsernamesAreSpiders,111,2018-11-19
Star Revenge 0: Galaxy of Origins,BroDute,122,2020-08-15
Ztar Attack Rebooted,aglab2 & TheGael95,170,2019-03-15
SM64: Last Impact,Kaze,130,2016-09-30
Super Mario 64 Land,Kaze,131,2019-11-10
SL64: The Flower Cup,UsernamesAreSpiders,166,2020-12-16
SM64: Beyond the Cursed Mirror,Rovert,120,2023-05-19
SM64 The Mushroom Cup,UsernamesAreSpiders,130,2018-07-03
Mario Can't Remember,QuillsTTV,30,2021-04-15
Mario's New Earth,The PixelSM64,125,2021-10-01
Star Revenge 5.5: Destroyed Memories,BroDute,70,2018-01-26
Super Mario 74,Lugmillord,151,2011-06-27
Phenomena 64,NobbieWasHere & StunningCactus & ToasterKetchup & various,120,2022-11-19
