Star Revenge 7: Park of Time,BroDute,121,2014-12-19
Super Mario Odyssey 64,Kaze & Biobak,80,2020-04-18
SM64: Shining Stars Repainted,sm64pie,151,2020-05-30
Star Revenge 4.5: The Kedama Takeover Rewritten,BroDute,100,2016-09-23
SM64 The Green Stars,Kampel125,130,2013-07-21
SM64: Ocarina of Time,Kaze,171,2018-03-26
Super Mario: The Stolen Stars,JakeDower,44,2023-02-10
Super Mario: The Lost Dreams,Xeraclom14,50,2019-12-13
Serene Fusion,aglab2 & various,80,2022-10-09
Despair Mario's Gambit 64,GmdDoesDMG,120,2021-11-19
SM64 Royal Legacy,Stunning Cactus,30,2020-09-14
Another Mario Adventure,aglab2 & various,120,2020-08-21
Star Revenge 1.5: Star takeover,BroDute,125,2015-08-14
Star Revenge 2 Act I: To the Moon,BroDute,85,2017-07-16
Super Mario Star Road,Skelux,130,2011-12-24
Star Revenge 3.5: Vacation of Cursed Dreams,BroDute,133,2018-11-20
Dog Collab,various,73,2023-02-24
Ztar Attack 2: A Blast to the Past,TheGael95,90,2018-09-24
Shining Stars 3: Sanctuary of the Star Comet,sm64pie,132,2017-08-01
Lug's Delightful Dioramas,Lugmillord,74,2020-11-07
Star Revenge 8: Scepter of Hope,BroDute,121,2016-03-16
Star Revenge 6.25: Luigi's Adventure DX,BroDute,216,2019-12-18
Mario on Indigo Island,UsernamesAreSpiders,111,2018-11-19
